"","comid","comid_wy","wayr","WYT","abs_FFM_median_cfs","hydro","FlowMetric","Scenario","hydro.endpoints","PredictedProbability","PredictedProbabilityScaled","index"
"2",20332660,"20332660_2004",2004,"dry",0.289401598,0.289401598,"ds_mag_50","Current","DS_Mag_50",0.435389831618098,0.991585594697048,"ASCI"
"3",20348867,"20348867_2000",2000,"moderate",0.208837746,0.058837746,"ds_mag_50","Current","DS_Mag_50",0.438287455235349,0.998301187330448,"ASCI"
"4",20325361,"20325361_2013",2013,"dry",0.985499584,0.985499584,"ds_mag_50","Current","DS_Mag_50",0.426669094586486,0.971374233560065,"ASCI"
"5",20342991,"20342991_2000",2000,"dry",8.455527056,8.455527056,"ds_mag_50","Current","DS_Mag_50",0.336916715135725,0.763362256199973,"ASCI"
"6",20344477,"20344477_1990",1990,"dry",0.607699883,0.037699883,"ds_mag_50","Current","DS_Mag_50",0.438553320325232,0.998917361780597,"ASCI"
"7",20331374,"20331374_1997",1997,"moderate",12.65861888,12.56861888,"ds_mag_50","Current","DS_Mag_50",0.29169120115093,0.658546666366339,"ASCI"
"8",20332716,"20332716_1992",1992,"wet",0.482225275,0.372225275,"ds_mag_50","Current","DS_Mag_50",0.434350006504981,0.989175674434077,"ASCI"
"9",948070417,"948070417_1992",1992,"wet",0.252387196,0.182387196,"ds_mag_50","Current","DS_Mag_50",0.436734204440056,0.994701341050692,"ASCI"
"10",20350737,"20350737_2009",2009,"moderate",0.190598069,0.190598069,"ds_mag_50","Current","DS_Mag_50",0.436631021817432,0.99446220286302,"ASCI"
"11",20334722,"20334722_1997",1997,"moderate",0.328910839,0.268910839,"ds_mag_50","Current","DS_Mag_50",0.435647174718724,0.992182018408027,"ASCI"
"12",22548393,"22548393_2001",2001,"moderate",0.506063104,0.506063104,"ds_mag_50","Current","DS_Mag_50",0.432670939259837,0.98528423333892,"ASCI"
"13",20332844,"20332844_1992",1992,"wet",0.324082418,0.124082418,"ds_mag_50","Current","DS_Mag_50",0.437467053321682,0.996399806828491,"ASCI"
"14",20333790,"20333790_2011",2011,"wet",3.686869797,3.676869797,"ds_mag_50","Current","DS_Mag_50",0.393423444509844,0.894323424953282,"ASCI"
"15",20332970,"20332970_2000",2000,"moderate",0.810010573,0.810010573,"ds_mag_50","Current","DS_Mag_50",0.428863552875452,0.976460155634949,"ASCI"
"16",22547109,"22547109_1992",1992,"moderate",2.600465951,2.600465951,"ds_mag_50","Current","DS_Mag_50",0.406620039373594,0.924908127095185,"ASCI"
"17",948070184,"948070184_2000",2000,"moderate",3.332065768,3.312065768,"ds_mag_50","Current","DS_Mag_50",0.397879540197142,0.904650964801171,"ASCI"
"18",20334586,"20334586_1994",1994,"moderate",0.523892274,0.313892274,"ds_mag_50","Current","DS_Mag_50",0.435082299300335,0.990872851414792,"ASCI"
"19",22548209,"22548209_2007",2007,"dry",2.43423976,2.43423976,"ds_mag_50","Current","DS_Mag_50",0.408670546025271,0.929660423867877,"ASCI"
